INFO 2025-01-01 19:37:02,432 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-01 19:37:02,619 autoreload File /usr/local/lib/python3.13/site-packages/django/core/management/commands/__init__.py first seen with mtime 1735713297.390412
DEBUG 2025-01-01 19:37:02,619 autoreload File /usr/local/lib/python3.13/traceback.py first seen with mtime 1735079334.0
DEBUG 2025-01-01 19:37:02,621 autoreload File /app/yarungo/views.py first seen with mtime 1735726794.3248115
DEBUG 2025-01-01 19:37:02,621 autoreload File /usr/local/lib/python3.13/site-packages/django/db/backends/base/features.py first seen with mtime 1735713297.400412
DEBUG 2025-01-01 19:37:02,621 autoreload File /usr/local/lib/python3.13/email/__init__.py first seen with mtime 1735079334.0
DEBUG 2025-01-01 19:37:02,622 autoreload File /usr/local/lib/python3.13/site-packages/MySQLdb/constants/FLAG.py first seen with mtime 1735713296.7804122
DEBUG 2025-01-01 19:37:02,623 autoreload File /app/yarungo/__init__.py first seen with mtime 1735710209.9929216
DEBUG 2025-01-01 19:37:02,624 autoreload File /usr/local/lib/python3.13/site-packages/django/contrib/messages/utils.py first seen with mtime 1735713297.260412
DEBUG 2025-01-01 19:37:02,625 autoreload File /app/yarungo/admin.py first seen with mtime 1735724611.1244886
DEBUG 2025-01-01 19:37:02,626 autoreload File /usr/local/lib/python3.13/site-packages/django/contrib/messages/apps.py first seen with mtime 1735713297.260412
DEBUG 2025-01-01 19:37:02,626 autoreload File /usr/local/lib/python3.13/site-packages/django/core/cache/utils.py first seen with mtime 1735713297.390412
DEBUG 2025-01-01 19:37:02,627 autoreload File /usr/local/lib/python3.13/pkgutil.py first seen with mtime 1735079333.0
DEBUG 2025-01-01 19:37:02,627 autoreload File /usr/local/lib/python3.13/site-packages/django/core/files/uploadedfile.py first seen with mtime 1735713297.390412
DEBUG 2025-01-01 19:37:02,627 autoreload File /usr/local/lib/python3.13/site-packages/django/contrib/auth/backends.py first seen with mtime 1735713297.0904121
DEBUG 2025-01-01 19:37:02,628 autoreload File /usr/local/lib/python3.13/dis.py first seen with mtime 1735079333.0
DEBUG 2025-01-01 19:37:02,628 autoreload File /usr/local/lib/python3.13/site-packages/django/core/wsgi.py first seen with mtime 1735713297.380412
DEBUG 2025-01-01 19:37:02,629 autoreload File /usr/local/lib/python3.13/site-packages/django/urls/__init__.py first seen with mtime 1735713297.430412
DEBUG 2025-01-01 19:37:02,629 autoreload File /usr/local/lib/python3.13/http/cookies.py first seen with mtime 1735079334.0
DEBUG 2025-01-01 19:37:02,629 autoreload File /usr/local/lib/python3.13/site-packages/environ/environ.py first seen with mtime 1735713296.8104122
DEBUG 2025-01-01 19:37:02,630 autoreload File /usr/local/lib/python3.13/site-packages/django/utils/datastructures.py first seen with mtime 1735713297.430412
DEBUG 2025-01-01 19:37:02,630 autoreload File /usr/local/lib/python3.13/hmac.py first seen with mtime 1735079333.0
DEBUG 2025-01-01 19:37:02,630 autoreload File /usr/local/lib/python3.13/site-packages/django/contrib/sites/requests.py first seen with mtime 1735713297.3504121
